participant_id	sex	age	int_lv1_down	int_lv1_passive	int_lv1_up	int_lv2_down	int_lv2_passive	int_lv2_up	int_lv3_down	int_lv3_passive	int_lv3_up	int_lv4_down	int_lv4_passive	int_lv4_up	int_lv5_down	int_lv5_passive	int_lv5_up	int_lv6_down	int_lv6_passive	int_lv6_up	unp_lv1_down	unp_lv1_passive	unp_lv1_up	unp_lv2_down	unp_lv2_passive	unp_lv2_up	unp_lv3_down	unp_lv3_passive	unp_lv3_up	unp_lv4_down	unp_lv4_passive	unp_lv4_up	unp_lv5_down	unp_lv5_passive	unp_lv5_up	unp_lv6_down	unp_lv6_passive	unp_lv6_up	scr_lv1_down	scr_lv1_passive	scr_lv1_up	scr_lv2_down	scr_lv2_passive	scr_lv2_up	scr_lv3_down	scr_lv3_passive	scr_lv3_up	scr_lv4_down	scr_lv4_passive	scr_lv4_up	scr_lv5_down	scr_lv5_passive	scr_lv5_up	scr_lv6_down	scr_lv6_passive	scr_lv6_up
"CRB217"	"M"	34.96	0	1.34408602166667	0.268817204333333	1.747311828	4.83870967733333	0.537634408333333	3.76344086	4.43548387066667	1.747311828	6.18279569966667	6.451612903	5.91397849466667	12.365591397	6.989247312	9.00537634566667	12.6344085993333	11.5591397856667	10.3494623643333	-10.4838709733333	-6.58602150666667	-2.68817204	-2.82258064666667	-0	1.20967742	-0.537634406666664	2.28494624	3.76344086	2.68817204	3.49462365333333	4.56989248	9.94623656	5.10752688	6.72043010666667	13.30645162	12.7688172	10.2150537666667	13.288214566809	12.141629326073	11.5043716565512	10.9897251675469	15.3300048081711	12.4261540196056	14.9346171824211	19.602534504909	19.3014751015257	17.8156373148276	23.2558256199115	23.0121685558521	26.7561606140887	21.3491951670232	27.8364713155799	28.2973600030761	22.6053003742248	34.8203132866345
"CRB218"	"M"	26.13	5.376344086	3.76344086033333	7.39247311833333	3.76344086033333	4.97311827933333	10.4838709693333	4.56989247333333	6.451612902	15.322580645	6.98924731166667	14.2473118266667	24.32795699	9.54301075133333	26.6129032233333	30.5107526866667	17.47311828	35.48387097	42.0698924733333	5.77956989333334	6.1827957	6.85483871333334	-0.940860213333333	4.16666666666667	7.79569892	9.54301075333333	7.12365592	15.99462366	14.5161290266667	15.5913978533333	19.3548387066667	14.1129032266667	23.79032258	31.3172042933333	20.96774194	29.7043010733333	23.92473118	14.823207460168	15.1777802455589	13.9622370985829	14.5482651326208	17.1042458971977	16.2431986311524	16.0175419510711	21.2932305889019	16.3671807836713	24.730080046358	21.5724755890114	24.1836100267633	26.9976766406115	35.1804878863315	22.4612111640337	30.5310655560998	42.470521967864	30.9238287124992
"CRB219"	"F"	41.73	0.537634408666667	2.016129032	2.15053763433333	5.64516129033333	2.01612903233333	4.43548387066667	13.3064516113333	4.97311827966667	10.4838709686667	13.9784946233333	11.021505379	21.9086021493333	13.4408602156667	22.04301075	15.8602150523333	27.28494624	28.76344086	29.4354838716667	-0	1.20967742	1.20967742	0.537634406666669	1.47849462	4.03225806	8.60215054	4.56989248	6.85483870666666	5.24193548666667	7.93010752666667	12.2311827933333	10.21505376	17.6075268866667	17.2043010733333	18.4139784933333	23.5215053733333	26.7473118333333	15.7281700896583	15.7621543883062	13.3045151138817	16.9364290686148	15.9856633049156	15.8892229483915	16.8152704865458	15.6595716214192	24.324109093135	18.6009300250435	15.9929884110402	24.6434252814604	22.2479571892364	18.6143953246171	29.5244662147667	24.3563068023487	21.3365630611405	30.3219084679948
"CRB220"	"F"	19.79	19.48924731	20.02688172	34.40860215	23.79032258	23.65591398	26.7473118266667	29.7043010733333	26.34408602	32.2580645166667	41.12903226	33.1989247333333	42.2043010733333	47.5806451633333	37.5	48.5215053766667	54.1666666666667	52.4193548366667	63.8440860233333	10.21505376	13.70967742	20.6989247333333	10.2150537666667	21.1021505333333	17.2043010733333	15.05376344	15.3225806466667	23.5215053733333	25.2688172066667	21.5053763466667	33.87096774	26.20967742	30.2419354866667	39.1129032333333	32.52688172	33.60215054	57.52688172	9.23823297254988	10.5673189313683	8.55878042990539	9.19382199019732	9.73617275675398	4.88317197237537	4.94692856178653	12.9423498957974	9.25610564282862	15.2595083037711	8.82768328875056	11.7302170139287	14.8673448900395	6.9218090278042	13.2366984140395	27.6048248112202	17.0915783504108	25.1170635322812
"CRB221"	"M"	20.25	9.40860215	13.7096774186667	13.3064516133333	13.9784946233333	13.70967742	24.0591397833333	17.7419354866667	25.8064516133333	24.7311827966667	23.5215053766667	30.2419354833333	39.6505376333333	35.4838709666667	37.9032258066667	45.56451613	44.2204301066667	39.7849462366667	43.14516129	0.537634413333331	11.8279569933333	11.1559139733333	9.27419354666667	12.2311827933333	19.6236559133333	18.9516129	24.0591397866667	20.5645161266667	20.6989247333333	23.2526881733333	32.1236559133333	28.3602150533333	29.3010752666667	36.6935483866667	35.4838709666667	32.52688172	34.1397849466667	5.85603032331916	6.93787312499196	14.684210895682	13.2737158780827	10.3778815409331	17.9825099678827	13.6419795777247	22.8304286061439	31.6214528967651	33.0912361392711	34.8680888098979	32.5352076785427	23.2882192801011	25.1098456039658	33.3749646595657	33.5755688255389	26.6549517956356	43.0150491491653
"CRB222"	"M"	24.95	13.9784946266667	14.38172043	14.38172043	16.1290322566667	16.26344086	16.93548387	18.5483870966667	19.7580645166667	19.4892473133333	20.9677419333333	20.02688172	21.37096774	25.1344086033333	26.3440860233333	20.4301075266667	27.41935484	27.6881720433333	25.40322581	-11.9623655866667	-6.98924732	0.940860213333333	-6.85483871333333	4.30107526666667	7.52688171333333	3.76344086	6.45161290666667	13.44086022	10.4838709733333	11.42473118	17.33870968	20.16129032	17.74193548	21.10215054	19.0860215133333	20.8333333333333	25.0000000066667	10.7911040165804	13.2386854629862	11.2242673020852	13.3878359169871	13.8100892923999	14.4729799683583	14.3797569207312	15.7086778093949	15.8575341845569	12.7125940422473	13.7387811700507	14.9175797341027	18.8274735615129	18.0463804190349	20.8542092183285	18.6536535876536	19.7021578929151	19.8580224763854
"CRB223"	"F"	36.2	10.752688171	13.1720430126667	11.8279569873333	16.39784946	24.4623655933333	16.8010752673333	20.69892473	24.8655913966667	35.2150537633333	25.2688172066667	35.75268817	42.0698924733333	29.7043010733333	44.89247312	44.89247312	42.8763440866667	49.5967741966667	49.59677419	-4.97311828	7.52688172	1.47849462666667	2.28494623333333	-1.07526882	24.4623655933333	8.19892472666667	14.3817204266667	33.46774194	13.9784946266667	33.60215054	40.45698924	21.23655914	47.0430107533333	47.7150537666667	45.16129032	51.4784946266667	52.0161290266667	13.9732224640494	10.6534900304782	12.1971945145028	12.4333790308345	17.8712710928085	14.3422613961522	16.3932092975572	13.7171138590656	17.3136798171469	15.4609803598251	17.999323576624	20.1390974100034	22.4307302487619	26.6681669841869	23.9297843056289	29.7060907463611	38.6087132953112	27.4742303995271
"CRB224"	"M"	24.09	2.55376344066667	6.72043010666667	16.1290322566667	7.39247311866667	8.736559141	13.4408602146667	14.1129032273333	19.758064517	20.1612903233333	18.14516129	38.5752688166667	40.59139785	27.9569892466667	44.35483871	55.9139784933333	39.38172043	55.7795698933333	61.5591397833333	-13.5752688133333	-13.8440860266667	8.87096774	-23.1182795733333	-11.8279569866667	-2.68817204	-25.5376344066667	-2.55376344	11.0215053733333	-22.0430107533333	9.13978494666667	36.69354838	5.37634408666667	30.9139784933333	52.1505376333333	8.73655914	45.5645161266667	52.6881720466667	11.1817110588532	10.3236832701718	10.0131272803565	14.4313427724253	8.69231422522286	19.7157739476392	18.8261956831256	18.3418064499593	14.6538245631437	47.4157812652669	43.9540085366922	39.1291518965094	49.8913376166999	58.6123264499005	63.6240053621623	57.4616846380718	58.2659925401321	69.0766117388242
"CRB225"	"F"	24.73	10.215053764	4.569892473	6.45161290333333	10.2150537656667	7.25806451633333	9.94623655866667	9.40860215166667	16.3978494633333	20.1612903233333	10.349462366	23.3870967733333	29.0322580666667	22.8494623666667	33.06451613	28.4946236566667	25	34.8118279566667	30.64516129	-8.46774194	0.806451613333337	1.61290322666667	2.82258064666667	-0.268817206666668	5.51075268666667	5.37634408666667	11.1559139733333	18.8172043	8.19892473333333	20.4301075266667	24.8655914	19.4892473133333	26.34408602	30.3763440866667	22.17741936	37.3655913933333	33.0645161266667	14.837018387173	15.340552160454	14.3823586344284	14.4037438289916	14.365590878409	14.8671807276084	14.8215694221312	14.5529542644436	13.6423944044432	17.386391420056	27.3517594616687	17.2975849397512	19.8730604037845	18.4884003395775	20.2450793360892	25.6016709101161	19.5603712585734	23.7882560497272
"CRB226"	"M"	20.16	5.91397849466667	5.241935484	7.930107527	9.67741935533333	8.19892473133333	9.40860215	14.24731183	13.172043009	9.27419355	11.9623655916667	15.9946236566667	15.3225806466667	19.89247312	20.56451613	20.83333333	28.8978494633333	29.1666666666667	22.9838709666667	-20.4301075266667	-9.81182795333333	-2.55376343333333	-11.8279569866667	1.74731182666667	11.42473118	-13.5752688133333	-2.41935484	11.8279569933333	7.93010752666666	12.2311828	17.0698924733333	18.2795698933333	21.10215054	25.5376344066667	26.20967742	25.4032258	27.41935484	15.0821987252531	16.4394935601862	10.6424167525722	10.463733800951	15.4267150619043	12.0152620829839	12.4668477321278	12.4674076099757	18.4898637183524	13.7480158991647	17.1880700050116	19.977132547289	21.773590586422	22.4514351283934	27.1189421631054	25.7141046447467	20.1753280914149	24.7121845192637
"CRB227"	"M"	24.27	1.075268817	3.09139784933333	4.03225806466667	3.360215054	4.704301076	8.87096774166667	2.95698924733333	6.72043010733333	11.290322579	4.435483871	7.930107528	16.6666666666667	6.451612903	15.59139785	14.112903225	10.2150537646667	26.20967742	24.59677419	-0.940860213333333	-1.07526882	2.55376344	-0.672043006666665	-1.34408602666667	5.91397849333333	0.403225806666669	1.34408602666666	11.9623655933333	2.15053763333333	7.52688172	20.16129032	5.37634408666667	9.94623656666666	14.6505376333333	12.3655914	19.7580645133333	19.48924732	13.851162987529	13.6777725476339	14.4059072611219	14.5117856894071	14.7194014923995	15.1683859846789	11.8822629406533	14.7435083602505	14.8979188356919	12.7799144513553	14.3087120983413	16.7246033318778	15.1437088933099	14.3444470853263	15.3515431898677	16.9916817093167	15.2892659455121	19.0509036275573
"CRB228"	"M"	19.38	5.91397849466667	4.301075269	10.483870967	12.0967741923333	11.2903225803333	11.15591398	10.0806451623333	11.5591397856667	10.3494623666667	19.6236559133333	22.9838709666667	16.3978494633333	21.3709677433333	33.4677419366667	18.0107526866667	30.9139784933333	31.72043011	22.9838709666667	7.79569892666666	5.64516128666667	6.98924731333333	9.13978494666666	9.13978494	6.98924731333333	8.60215054	9.81182795333334	10.21505376	20.16129032	19.6236559133333	12.2311827933333	12.6344086	23.3870967666667	13.97849462	24.0591397866667	24.19354838	16.26344086	14.3473446953522	13.2306413120907	7.41745855541869	13.5289471690189	10.4845148081695	14.4933178096595	14.6756336996649	14.2273001548973	14.7397657399468	12.502594754437	12.704345931527	11.7408144343024	13.3985042531247	13.6490866906268	13.9530363518748	15.4940616378195	13.5484147755293	13.1454201737418
"CRB229"	"M"	20.15	6.85483870966667	10.752688174	11.0215053766667	9.94623655766667	10.8870967756667	15.7258064533333	9.946236561	25	17.8763440866667	10.618279571	30.7795698933333	27.8225806433333	31.5860215033333	39.5161290333333	42.8763440866667	35.61827957	47.7150537666667	43.9516129033333	-26.7473118266667	6.98924730666667	7.52688172666667	-22.7150537666667	9.13978494666667	18.5483871	-22.44623656	24.1935483866667	23.2526881733333	-8.46774193333333	31.9892473133333	32.66129032	5.24193548	38.70967742	44.4892473133333	3.09139784666667	45.8333333333333	47.31182796	16.3013386466749	15.1067445259502	15.554515376412	16.0787256786223	14.8622529673728	15.6349466496742	15.6779373309289	16.418487920608	15.6360180134986	16.8663523414589	18.0272093306991	17.8426375365369	16.2962181385266	18.1475443152553	18.9449721617624	17.8795312626618	19.824687485465	21.6184909034535
"CRB230"	"M"	22.89	5.10752688166667	3.494623656	4.569892473	8.064516129	6.31720430133333	8.60215053733333	10.887096775	8.064516129	11.82795699	9.81182795866667	14.1129032266667	13.440860215	13.4408602166667	14.247311825	23.65591398	17.2043010766667	23.79032258	31.7204301066667	-7.12365591333333	-0.806451613333332	0.672043013333337	-8.33333333333333	-1.61290322666666	8.19892472666666	-3.89784946	-1.07526882	9.94623656	-2.01612903333333	9.27419354666667	10.08064516	3.76344086	11.29032258	19.89247312	9.81182796	16.6666666666667	29.3010752666667	12.4166642499916	10.3077885459421	14.2793602235993	12.0819138157608	14.0746115934664	6.18860378322576	17.9291472733424	13.8308199327903	22.7024983536967	12.4135958468561	25.5297229537859	16.1458720498318	17.1869978295881	25.7457088143895	31.2749639083491	20.8410889657951	26.7867657994745	28.5395806203088
"CRB231"	"F"	24.77	0	0	0	2.28494623666667	0	1.747311828	4.435483871	2.016129032	6.04838709766667	5.24193548366667	3.09139784933333	10.0806451616667	13.9784946233333	13.3064516133333	12.768817205	16.66666667	16.801075271	15.18817204	-16.8010752733333	-18.4139785	-4.43548387333334	-18.6827956933333	-15.8602150533333	-17.0698924733333	-7.25806452	-23.65591398	1.74731182666666	-11.29032258	-11.15591398	3.49462365333333	2.55376344	13.44086022	15.5913978466667	7.93010752666667	15.5913978466667	8.73655914	16.3324327115168	15.4727835944438	15.8543127108075	15.1728012435182	15.1025030410817	15.4542290254014	15.5672075304491	15.5175599843505	16.0759129855808	15.0604881414294	15.6036023139249	17.0776346398461	18.1686424934802	16.6468465886028	19.4861516978083	19.6068376809393	19.1124367946376	19.4292870916744
"CRB232"	"M"	29.93	4.83870967733333	5.77956989233333	6.04838709666667	8.333333332	7.93010752666667	6.72043010733333	9.40860214966667	8.198924732	6.98924731166667	11.5591397856667	15.5913978466667	15.9946236533333	16.12903226	20.2956989266667	22.8494623666667	23.5215053766667	20.295698925	25.2688172066667	-0.537634406666669	-1.47849462666667	-0.403225806666669	-0.134408606666668	1.07526881333333	0.403225806666669	0.806451613333332	2.15053763333333	0.537634406666669	3.36021506	6.72043010666666	6.85483870666666	8.19892473333333	10.7526881733333	13.5752688133333	11.8279569866667	14.2473118266667	14.91935484	15.7077693618401	16.1670031647967	15.9536736606101	15.8294185036119	15.8122791844476	15.8298678161836	16.2070615454084	15.2641941310397	15.5184527310284	15.5030813355012	16.1570688164858	15.9720457649085	17.2169948607005	16.7481620687735	16.5765624917345	17.2774990520108	17.0356288171042	16.9205270602545
"CRB233"	"M"	33.35	16.1290322566667	14.9193548366667	17.3387096733333	19.0860215033333	18.2795698933333	20.8333333333333	24.1935483866667	27.2849462366667	25.2688172066667	26.20967742	28.22580645	29.30107527	29.7043010766667	35.3494623633333	34.81182796	32.7956989266667	35.2150537666667	34.9462365566667	-8.87096774666666	1.07526882	9.00537634666667	-3.22580644666667	13.57526882	13.3064516133333	11.15591398	19.0860215066667	15.1881720466667	13.0376344066667	21.3709677466667	26.34408602	21.5053763466667	29.4354838733333	29.5698924733333	22.8494623666667	32.6612903266667	34.8118279533333	14.6569828772333	13.6176546978638	12.9067233500756	13.6764510906567	13.9841911174393	13.3214783135547	13.428782299856	14.4866594787984	13.7160617076227	16.1481995457795	13.9564840339329	14.6030605858428	15.668463354301	14.4057363256454	15.6745042481909	15.7271980163076	14.6857283933705	15.1303218704462
"CRB234"	"F"	22.52	5.64516129033333	6.98924731266667	10.0806451626667	10.483870969	4.83870967733333	5.91397849333333	3.09139784966667	5.51075268833333	10.7526881736667	7.93010752833333	17.3387096766667	19.4892473123333	18.01075269	28.76344086	34.5430107533333	23.9247311833333	45.2956989233333	39.5161290333333	-12.2311828	-17.0698924733333	8.19892472666667	-22.0430107533333	-15.1881720466667	1.74731182666666	-10.2150537666667	-21.23655914	-0.537634406666669	-0.806451606666665	16.53225806	13.4408602133333	-4.56989247333334	25.6720430133333	36.8279569933333	20.4301075266667	43.8172042933333	40.8602150533333	15.2582741457148	12.8428419904779	12.9362580474658	13.7869237254482	12.5233615384771	13.8133071448704	9.56471022632287	12.9946460913347	11.2941738485786	14.3455574314952	13.0930820648915	14.5592716286787	17.0264286666164	15.1360940697566	18.0832380107246	16.0847071582929	21.3530700161975	21.5082059590539
"CRB235"	"M"	21.94	7.661290322	6.45161290333333	8.46774193633333	7.392473118	10.080645161	9.13978494566667	11.1559139793333	10.0806451593333	13.9784946216667	14.516129034	16.93548387	15.3225806466667	18.5483871	21.6397849466667	26.2096774166667	23.5215053766667	30.64516129	35.2150537633333	-41.12903226	-29.4354838733333	-16.9354838733333	-23.3870967733333	-10.21505376	0	-7.39247312	4.83870968	4.97311828	-0.537634406666669	11.9623655933333	8.73655914	14.2473118333333	14.9193548333333	15.1881720466667	10.8870967733333	21.6397849466667	26.4784946266667	13.4442302169063	12.5063957180485	9.49516369122037	11.8257649785056	9.57384252578224	5.96042160034402	12.477014497429	9.56696901137293	9.06567327071931	11.4727859865623	10.3107518033421	9.14876418029055	5.12715105675361	13.8914050738053	15.5126092115001	16.3054998989453	13.1454483769026	17.7995536735687
"CRB236"	"F"	22.96	10.3494623646667	7.930107527	7.39247311766667	17.607526881	13.1720430096667	13.1720430133333	19.220430105	16.3978494633333	25	20.2956989273333	23.11827957	19.8924731166667	34.13978495	30.2419354833333	25.4032258066667	31.5860215066667	37.2311827933333	42.60752688	-2.68817204	-0.806451606666665	1.88172043333333	3.76344086	9.13978494666667	0.672043006666665	7.12365591333334	8.06451613333333	19.89247312	7.39247311333333	19.7580645133333	15.05376344	23.38709678	22.9838709666667	23.9247311866667	19.75806452	30.3763440866667	39.11290322	12.6938701464699	15.3152737352324	13.526849859485	25.635203051511	17.8266403963121	17.3159276406663	17.6319909858515	16.448975016649	19.6812820368913	16.8590057368768	17.0472191300463	21.9015551255096	36.0960798607809	24.2055092196656	29.0744669993153	17.802552124172	26.9364468294665	29.3839589895269
